LECROYWR640Zi,55822,Waveform
Segments,1,SegmentSize,24886
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2026 11:18:56,0                 
Time,Ampl
975114,177.4967498779297
975115,-165.1692504882813
975116,-147.9007568359375
975117,-130.5179901123047
975118,-113.1984634399414
975119,-95.84752655029297
975120,-78.59092712402344
975121,-61.32729339599609
975122,-43.98324203491211
975123,-26.61210060119629
975124,-9.353940963745117
975125,7.941567897796631
975126,25.2623176574707
975127,42.58847045898438
975128,59.82034301757813
975129,77.07534790039063
975130,94.28128051757813
975131,111.6132202148438
975132,128.8922271728516
975133,146.0390930175781
975134,163.3411712646484
975135,-179.4604644775391
975136,-162.1517639160156
975137,-144.8910217285156
975138,-127.5544662475586
975139,-110.1027526855469
975140,-92.81340026855469
975141,-75.51943206787109
975142,-58.34046173095703
975143,-41.01963806152344
975144,-23.95633888244629
975145,-6.67354679107666
975146,10.64239692687988
975147,27.86429405212402
975148,45.18204116821289
975149,62.37518310546875
975150,79.55654907226563
975151,96.65086364746094
975152,113.8084335327148
975153,131.1693572998047
975154,148.4027404785156
975155,165.6986083984375
975156,-177.10205078125
975157,-159.8860931396484
975158,-142.5390930175781
975159,-125.2432556152344
975160,-108.0332565307617
975161,-90.76541900634766
975162,-73.4879150390625
975163,-56.25339508056641
975164,-39.08722305297852
975165,-21.81683349609375
975166,-4.672909736633301
975167,12.71384716033936
975168,29.94076919555664
975169,47.06128311157227
975170,64.34360504150391
975171,81.57698822021484
975172,98.892822265625
975173,116.1821594238281
975174,133.5614624023438
975175,150.6566925048828
975176,167.8241882324219
975177,-174.9590148925781
975178,-157.6489868164063
975179,-140.3775329589844
975180,-123.0486450195313
975181,-105.6184844970703
975182,-88.2906494140625
975183,-71.16403961181641
975184,-53.71371459960938
975185,-36.40334320068359
975186,-19.12814521789551
975187,-1.923718810081482
975188,15.42734813690186
975189,32.73453140258789
975190,50.11039352416992
975191,67.36968231201172
975192,84.74596405029297
975193,101.9220275878906
975194,119.210807800293
975195,136.4601745605469
975196,153.7556304931641
975197,171.0696563720703
975198,-171.6768188476563
975199,-154.593994140625
975200,-137.4509735107422
975201,-120.1856689453125
975202,-102.9150619506836
975203,-85.70524597167969
975204,-68.52219390869141
975205,-51.10247421264648
975206,-33.91276550292969
975207,-16.62920951843262
975208,0.733816385269165
975209,17.91447448730469
975210,35.18328475952148
975211,52.5660400390625
975212,69.85854339599609
975213,87.23973846435547
975214,104.6878433227539
975215,122.058219909668
975216,139.5289306640625
975217,156.9550170898438
975218,174.2077331542969
975219,-168.475341796875
975220,-151.1006317138672
975221,-133.8535766601563
975222,-116.53759765625
975223,-99.26866149902344
975224,-82.00990295410156
975225,-64.56830596923828
975226,-47.3343620300293
975227,-29.97085380554199
975228,-12.65397357940674
975229,4.603894710540771
975230,21.89837837219238
975231,39.14225387573242
975232,56.52649688720703
975233,73.90095520019531
975234,91.27797698974609
975235,108.5898361206055
975236,125.8274993896484
975237,143.1786193847656
975238,160.4591369628906
975239,177.7138366699219
975240,-164.9806518554688
975241,-147.6995239257813
975242,-130.4919891357422
975243,-113.2281188964844
975244,-95.87245178222656
975245,-78.52664947509766
975246,-61.14519119262695
975247,-43.88101959228516
975248,-26.52779388427734
975249,-9.110014915466309
975250,8.156780242919922
975251,25.48824691772461
975252,42.73484802246094
975253,60.02477645874023
975254,77.09799957275391
975255,94.30258178710938
975256,111.7075424194336
975257,129.0571594238281
975258,146.2311553955078
975259,163.4874114990234
975260,-179.1316680908203
975261,-161.6727142333984
975262,-144.2357635498047
975263,-126.7869491577148
975264,-109.5476303100586
975265,-92.43277740478516
975266,-74.99311065673828
975267,-57.7729377746582
975268,-40.43754959106445
975269,-23.11863136291504
975270,-5.78442907333374
975271,11.73437976837158
975272,28.85080146789551
975273,46.04212951660156
975274,63.30813980102539
975275,80.61176300048828
975276,97.96279907226563
975277,115.1529235839844
975278,132.2963409423828
975279,149.4821929931641
975280,166.7920532226563
975281,-175.987060546875
975282,-158.8090209960938
975283,-141.4312438964844
975284,-124.1143112182617
975285,-106.8779983520508
975286,-89.51264190673828
975287,-72.31219482421875
975288,-55.07112884521484
975289,-37.78373718261719
975290,-20.4852123260498
975291,-3.305474042892456
975292,14.06497192382813
975293,31.23495101928711
975294,48.6083869934082
975295,65.84394836425781
975296,83.14794921875
975297,100.4146270751953
975298,117.4792785644531
975299,134.7338256835938
975300,152.0348358154297
975301,169.4046630859375
975302,-173.3476104736328
975303,-156.0810546875
975304,-138.7919616699219
975305,-121.4587631225586
975306,-104.187629699707
975307,-86.89252471923828
975308,-69.64668273925781
975309,-52.33566665649414
975310,-35.14884567260742
975311,-17.84167861938477
975312,-0.4296540021896362
975313,16.95822715759277
975314,34.29594802856445
975315,51.63343811035156
975316,68.90755462646484
975317,86.19092559814453
975318,103.5127410888672
975319,120.7186965942383
975320,137.9249420166016
975321,155.2414398193359
975322,172.4986724853516
975323,-170.2397613525391
975324,-152.8893432617188
975325,-135.5834655761719
975326,-118.2846069335938
975327,-100.9642944335938
975328,-83.58844757080078
975329,-66.35789489746094
975330,-49.12049102783203
975331,-31.76100730895996
975332,-14.47050094604492
975333,2.756625890731812
975334,20.09491157531738
975335,37.41653060913086
975336,54.69689178466797
975337,71.84439086914063
975338,89.13082885742188
975339,106.5432739257813
975340,123.8767166137695
975341,141.1903991699219
975342,158.463134765625
975343,175.7047576904297
975344,-167.0177612304688
975345,-149.7460632324219
975346,-132.4338836669922
975347,-115.0897750854492
975348,-97.82189178466797
975349,-80.52585601806641
975350,-63.3151969909668
975351,-46.05413436889648
975352,-28.58800506591797
975353,-11.20887851715088
975354,6.109171390533447
975355,23.4118824005127
975356,40.81852340698242
975357,58.05250549316406
975358,75.26068115234375
975359,92.63147735595703
975360,109.9634399414063
975361,127.2061309814453
975362,144.5896606445313
975363,161.8465881347656
975364,179.0486755371094
975365,-163.6762390136719
975366,-146.3831329345703
975367,-129.0515899658203
975368,-111.775749206543
975369,-94.59700775146484
975370,-77.35717010498047
975371,-60.12041854858398
975372,-42.71495819091797
975373,-25.41507720947266
975374,-8.116026878356934
975375,9.191560745239258
975376,26.31484031677246
975377,43.58416748046875
975378,60.83273696899414
975379,77.98954772949219
975380,95.2562255859375
975381,112.6108169555664
975382,129.7131652832031
975383,146.8643188476563
975384,164.1662292480469
975385,-178.5219116210938
975386,-161.3215942382813
975387,-143.9838409423828
975388,-126.7697067260742
975389,-109.433723449707
975390,-92.13407897949219
975391,-74.97807312011719
975392,-57.636962890625
975393,-40.40156173706055
975394,-23.08893966674805
975395,-5.681776523590088
975396,11.53655624389648
975397,28.59695434570313
975398,45.85214233398438
975399,63.17546081542969
975400,80.42510223388672
975401,97.76539611816406
975402,115.0115127563477
975403,132.4218139648438
975404,149.5643615722656
975405,166.8183441162109
975406,-176.1111145019531
975407,-158.7886352539063
975408,-141.5800628662109
975409,-124.2734069824219
975410,-106.9968719482422
975411,-89.71006774902344
975412,-72.47470092773438
975413,-55.25342178344727
975414,-38.16114044189453
975415,-20.87675094604492
975416,-3.638725757598877
975417,13.58644676208496
975418,30.75943374633789
975419,47.97275543212891
975420,65.13542175292969
975421,82.34718322753906
975422,99.67094421386719
975423,116.8400268554688
975424,134.0261688232422
975425,151.1929779052734
975426,168.3624114990234
975427,-174.3476715087891
975428,-157.0025939941406
975429,-139.7820587158203
975430,-122.4395446777344
975431,-105.1296081542969
975432,-88.14548492431641
975433,-70.81085205078125
975434,-53.42729568481445
975435,-36.0583610534668
975436,-18.73197364807129
975437,-1.551291704177856
975438,15.9324951171875
975439,33.13151550292969
975440,50.31018829345703
975441,67.56465911865234
975442,84.96450042724609
975443,102.2564163208008
975444,119.4770660400391
975445,136.6254425048828
975446,154.0086212158203
975447,171.3985443115234
975448,-171.2805633544922
975449,-154.0947570800781
975450,-136.8695373535156
975451,-119.7600555419922
975452,-102.6816711425781
975453,-85.44841003417969
975454,-68.12846374511719
975455,-50.9298095703125
975456,-33.6590576171875
975457,-16.52069091796875
975458,0.9386353492736816
975459,18.26522064208984
975460,35.44320678710938
975461,52.49942398071289
975462,69.7286376953125
975463,86.9593505859375
975464,104.2474517822266
975465,121.4258422851563
975466,138.7093811035156
975467,156.049072265625
975468,173.4114685058594
975469,-169.4369812011719
975470,-152.2804107666016
975471,-134.9458465576172
975472,-117.5949935913086
975473,-100.3588943481445
975474,-83.03166961669922
975475,-65.72216796875
975476,-48.4380989074707
975477,-31.16518211364746
975478,-13.83161926269531
975479,3.430567979812622
975480,20.70394515991211
975481,37.9696159362793
975482,55.18715286254883
975483,72.33662414550781
975484,89.53903961181641
975485,106.6893081665039
975486,124.0406951904297
975487,141.2749328613281
